;TINFOLEAK Report;;;;;;;;;;;;;;;;
;Vicente Aguilera Díaz;;;;;;;;;;;;;;;;
;@VAguileraDiaz;;;;;;;;;;;;;;;;
;www.isecauditors.com;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;>>> Date:;09/07/2020;;;;;;;;;;;;;;;
;>>> Time:;0:58;;;;;;;;;;;;;;;
;>>> Analyzed user:;Estrada0222;;;;;;;;;;;;;;;
;>>> Information:;Followers;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
#;ID;USERNAME;SCREEN NAME;DESCRIPTION;PROFILE IMAGE URL;PROFILE BANNER URL;CREATED AT;LOCATION;TIME_ZONE;GEO ENABLED;FOLLOWERS COUNT;FRIENDS COUNT;STATUSES COUNT;LISTED COUNT;FAVOURITES COUNT;USER VERIFIED;USER LANG
24;323915775;Daniela🐼;Dovergara17;;http://pbs.twimg.com/profile_images/1236884164365955073/iusPxlXP_normal.jpg;http://abs.twimg.com/images/themes/theme1/bg.png;25/06/2011 17:14;Barranquilla, Colombia;;True;212;287;1235;1;2922;False;
25;1,10E+32;Roberto Orellano;rorellan2;;http://pbs.twimg.com/profile_images/1097746942921183232/3Y02pPUc_normal.jpg;;19/02/2019 6:36;;;False;28;195;6;0;6;False;
26;1,24E+32;corporativo scfm;david24_25;💥solo por fun y entretenerme con los mamertos  🤣🤣🤣;;;;;;;;;;;;;
"🚫comunistas y socialistas = miseria y pobreza""";http://pbs.twimg.com/profile_images/1249432965555331073/1Aywbl3V_normal.jpg;;31/03/2020 2:52;Colombia;;False;65;649;365;0;216;False;;;;;
27;8,59E+31;ZerchsG;ZerchsG;;http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png;;30/04/2017 23:28;;;False;7;528;50;0;147;False;
28;1,24E+32;Jesus Ardila😎🍃;Jesus25802274;🤙🔥😎;http://pbs.twimg.com/profile_images/1239015375993528327/w8aOnPoK_normal.jpg;;15/03/2020 2:26;Barranquilla, Colombia;;False;34;442;1;0;0;False;
29;1,24E+32;Daniela Mejía Nájera;DanielaMejaNje1;Amate como eres!!!...;http://pbs.twimg.com/profile_images/1238874699070951425/RrjPIUoK_normal.jpg;;14/03/2020 17:07;;;False;17;31;10;0;50;False;
30;116290310;Developer Wick en casa ⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐;xugador13;ITIC:{Desarrollador:{Aplicaciones web:{Asp, JSP,  PHP}, ETLs, Odis, Mobile:{IOS, android}, Scrum},Fan:{Anime, Tecnología, Videojuegos, Chivas, Banda, Rap}};http://pbs.twimg.com/profile_images/922148775/CESAR_logo_negro_normal.jpg;http://abs.twimg.com/images/themes/theme1/bg.png;21/02/2010 22:42;konoha;;False;656;4998;6202;0;2763;False;
31;1,02E+32;vastarde;vainarocket;;http://pbs.twimg.com/profile_images/1250416573812215808/cFYhiV2l_normal.jpg;;20/07/2018 23:33;;;False;10;573;3;0;2216;False;
32;543688961;Jair;jairandres04;Just another random guy - IG: jair.andres1;http://pbs.twimg.com/profile_images/1177233398152224771/xi0tTXQa_normal.jpg;http://abs.twimg.com/images/themes/theme14/bg.gif;02/04/2012 19:56;Barranquilla, Colombia;;True;180;296;3681;3;7125;False;
33;1,06E+32;L. J. 🙍;mextapa;;http://pbs.twimg.com/profile_images/1211878587810406403/0ro5rhrs_normal.jpg;;08/11/2018 8:34;;;False;332;2497;534;0;11955;False;
34;424362867;𝕲𝖚𝖎𝖑𝖑𝖊 ➐;GuilleSwd;UnPensadorMas.;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
