;TINFOLEAK Report;;;;;;;;;;;;;;;;
;Vicente Aguilera Díaz;;;;;;;;;;;;;;;;
;@VAguileraDiaz;;;;;;;;;;;;;;;;
;www.isecauditors.com;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;>>> Date:;08/07/2020;;;;;;;;;;;;;;;
;>>> Time:;17:01;;;;;;;;;;;;;;;
;>>> Analyzed user:;jsantiagowx;;;;;;;;;;;;;;;
;>>> Information:;Followers;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
#;ID;USERNAME;SCREEN NAME;DESCRIPTION;PROFILE IMAGE URL;PROFILE BANNER URL;CREATED AT;LOCATION;TIME_ZONE;GEO ENABLED;FOLLOWERS COUNT;FRIENDS COUNT;STATUSES COUNT;LISTED COUNT;FAVOURITES COUNT;USER VERIFIED;USER LANG
23;2149925462;Andrés 🎈;MiloAndres20;look at the leaders we've followed,look at the lies we've swallowed,and i don't want to hear no more,my hands are tied,for all i've seen has changed my mind;http://pbs.twimg.com/profile_images/1275812116444971008/-exojCAu_normal.jpg;http://abs.twimg.com/images/themes/theme9/bg.gif;23/10/2013 0:06;- MagicMusicBox🇨🇴🏴‍☠️;;True;560;550;4260;1;18739;False;
24;1,28E+31;Jugando Con Caperucita;ConCaperucita;Especialista en libros sensoriales para niñas y niños  en educación inicial;http://pbs.twimg.com/profile_images/1275644725182300160/p8KKqjpD_normal.jpg;;24/06/2020 4:19;La Vega, Colombia;;False;6;140;16;0;1;False;
25;212095977;paz;JUKARUBE;Defensor de DH;http://pbs.twimg.com/profile_images/1272694580706672642/Cs7Z9mB9_normal.jpg;http://abs.twimg.com/images/themes/theme1/bg.png;05/11/2010 3:30;Colombia;;False;638;4465;2833;0;5966;False;
26;1,27E+32;Calavera Polombia;CPolombia;una persona no uribista ,en contra de la expropiación de duque ..digo hipoteca ala inversa .;http://pbs.twimg.com/profile_images/1272558009441554432/af4ZKqNf_normal.jpg;;15/06/2020 15:53;;;False;189;355;168;0;21;False;
27;1,27E+32;Museo Colombiano de Internet 🇨🇴;mcolombianodi;Biblioteca digital de los mejores momentos de nuestra gente linda colombiana.;http://pbs.twimg.com/profile_images/1271275897836892161/Yws1Wwe0_normal.jpg;;12/06/2020 2:58;Colombia;;False;323;404;59;0;140;False;
28;1,25E+32;julian white;julian_whitex;Ejecuten la justicia, no a los hombres.;http://pbs.twimg.com/profile_images/1274847371722178561/tSib8Y59_normal.jpg;;23/04/2020 19:44;Ecuador;;False;168;439;89;0;279;False;
29;155043059;c a r o l i n a ®;aycaroola;A veces lo que voy a decir  no es mejor que el silencio... y lo escribo aquí.  📜;;;;;;;;;;;;;
"Instagram: aycarola""";http://pbs.twimg.com/profile_images/1263488732923125761/QOGUtGZi_normal.jpg;http://abs.twimg.com/images/themes/theme3/bg.gif;12/06/2010 23:58;Colombia;;False;15632;2772;5401;23;81959;False;;;;;
30;280244466;steffany;teffirojitas;;http://pbs.twimg.com/profile_images/1267271683221729282/CrYWMZqC_normal.jpg;http://abs.twimg.com/images/themes/theme1/bg.png;10/04/2011 23:23;colombia;;False;25;73;267;0;823;False;
31;1,24E+32;El Uberrimo;leuberrimo;Progre.;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
