;TINFOLEAK Report;;;;;;;;;;;;;;;;
;Vicente Aguilera Díaz;;;;;;;;;;;;;;;;
;@VAguileraDiaz;;;;;;;;;;;;;;;;
;www.isecauditors.com;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;>>> Date:;08/07/2020;;;;;;;;;;;;;;;
;>>> Time:;18:25;;;;;;;;;;;;;;;
;>>> Analyzed user:;OscarHsb;;;;;;;;;;;;;;;
;>>> Information:;Followers;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
#;ID;USERNAME;SCREEN NAME;DESCRIPTION;PROFILE IMAGE URL;PROFILE BANNER URL;CREATED AT;LOCATION;TIME_ZONE;GEO ENABLED;FOLLOWERS COUNT;FRIENDS COUNT;STATUSES COUNT;LISTED COUNT;FAVOURITES COUNT;USER VERIFIED;USER LANG
24;1,15E+32;El Viejo Zorro;ElViejoZorro81;De derecha, pero aceptemos opiniones diferentes. Eso es debate y democracia.;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
"Llanero de corazón.""";http://pbs.twimg.com/profile_images/1221824431598817283/QOAatNWT_normal.jpg;;09/07/2019 14:26;Bogotá;;False;3391;3570;656;0;420;False;;;;;
25;776215164;EDGAR PAPAMIJA;EDGARPAPAMIJA;Ingeniero Civil y columnista.;http://pbs.twimg.com/profile_images/2539151704/r99ch7e5w5r3gqadfvx2_normal.jpeg;http://abs.twimg.com/images/themes/theme1/bg.png;23/08/2012 15:41;Bogotá ;;True;2184;786;14413;17;791;False;
26;243741788;Lucía Bastidas Ubate;luciabastidasu;Mamá de Jaime Andrés., defensora de las mujeres.,movilidad y espacio público.#SoyMiPalabra #CreoenEnriquePeñalosa #TrabajandoPorMiCiudad;http://pbs.twimg.com/profile_images/1233964565408501760/GtQg2jTM_normal.jpg;http://abs.twimg.com/images/themes/theme10/bg.gif;27/01/2011 18:23;Bogotá;;True;12859;3050;100462;113;44895;False;
27;8,47E+31;PeticiónCuidadana;PeticionC;Es una red social diseñada para que los ciudadanos denuncien la falta de atención de los políticos, registre su petición en: https://t.co/P6KhSUgqlH;http://pbs.twimg.com/profile_images/854700246638702592/gB4DMzrb_normal.jpg;;28/03/2017 17:05;Colombia ;;True;693;914;1621;2;289;False;
28;221884966;🌹❤LUZ❤🌹;luzcary0226;#URIBISTA hasta los tuetanos😊🤚❤;;;;;;;;;;;;;
Si le pides a Díos y te lo concede; no dudes; no cuestiones;"ten fe.🌷 💋💋""";http://pbs.twimg.com/profile_images/1280041227870707712/y1uooe3A_normal.jpg;http://abs.twimg.com/images/themes/theme1/bg.png;01/12/2010 21:56;Bogotá, D.C., Colombia;;False;7551;6631;40922;0;62516;False;;
29;1,17E+32;Troll91👩‍⚖;Krol9911;La de los hilos... tuiteros.;http://pbs.twimg.com/profile_images/1277653210744922112/u4ygRs5a_normal.jpg;;25/08/2019 21:16;;;True;4859;2502;18928;1;27040;False;
30;1,16E+32;🍸betty criticona soy - cuenta actual;bettycriticonaa;🍸CUENTA ACTUAL (la otra no sirve) Sátira, sarcasmo, humor, crítica, política, cocteles, música, deportes, gym. Soltera💕(ojo no solterona), con nueva mascota🐕;http://pbs.twimg.com/profile_images/1242616735020339204/MpZzhwLd_normal.jpg;;30/07/2019 1:26;En casa tomando martinis🍸🍸🍸;;False;20285;19226;1134;2;13502;False;
31;553170698;Eder Sanchez;ederaldis83;Cristiano evangélico, amante del fútbol y el rock, sigo ideas no nombres, Ingeniero Industrial - Experto en Costos y Productividad.;http://pbs.twimg.com/profile_images/1264934310932631552/FbNdi1er_normal.jpg;http://abs.twimg.com/images/themes/theme14/bg.gif;14/04/2012 2:15;Cali;;True;180;1505;7953;1;13817;False;
32;1,09E+31;Darschan Ocampo;DOcampo76;Edil Comuna Dos 2020 / Vicepresidente  JAC  Centenario / Líder  Cívica  / Ingeniera  Electrónica;http://pbs.twimg.com/profile_images/1086989384749068288/RuTnD7wH_normal.jpg;;20/01/2019 14:00;;;True;511;854;6109;2;1283;False;
33;3187399679;(A.R.A.)®;AndreaRamirezA_;Activista Política La verdad saldrá a la luz #AraDenuncia ¡JUSTICIA!⚖️. En mi Twitter me sigue el mejor Pdte q tuvo🇨🇴 @AlvaroUribeVel lo admiro. Vivo en...;http://pbs.twimg.com/profile_images/1250873663735443457/1mzb0egy_normal.jpg;http://abs.twimg.com/images/themes/theme1/bg.png;20/04/2015 15:28;Estados Unidos 🇺🇸;;True;16428;10169;31800;9;26184;False;
