;TINFOLEAK Report;;;;;;;;;;;;;;;;
;Vicente Aguilera Díaz;;;;;;;;;;;;;;;;
;@VAguileraDiaz;;;;;;;;;;;;;;;;
;www.isecauditors.com;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;>>> Date:;09/07/2020;;;;;;;;;;;;;;;
;>>> Time:;2:52;;;;;;;;;;;;;;;
;>>> Analyzed user:;Oscar_GCh;;;;;;;;;;;;;;;
;>>> Information:;Followers;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
#;ID;USERNAME;SCREEN NAME;DESCRIPTION;PROFILE IMAGE URL;PROFILE BANNER URL;CREATED AT;LOCATION;TIME_ZONE;GEO ENABLED;FOLLOWERS COUNT;FRIENDS COUNT;STATUSES COUNT;LISTED COUNT;FAVOURITES COUNT;USER VERIFIED;USER LANG
26;8,95E+30;Ex Mypime;mi_musical;Padre de Familia, Docente, Músico Profesional, mi Mypime quebró... JUSTICIA;http://pbs.twimg.com/profile_images/1233400949353385985/98ztDOwI_normal.jpg;;08/08/2017 13:14;;;False;1054;1945;445;0;4367;False;
27;67613214;cesar vargas;mcvm100;;http://pbs.twimg.com/profile_images/1815941576/adhesivo-casco-rojo_normal.jpe;http://abs.twimg.com/images/themes/theme1/bg.png;21/08/2009 13:58;;;False;1368;1560;19030;3;2232;False;
28;356669677;bayron ramirez;bayron_16;Don't stop;http://pbs.twimg.com/profile_images/1234274813193211904/JSHI78Wq_normal.jpg;http://abs.twimg.com/images/themes/theme14/bg.gif;17/08/2011 5:42;pereira;;False;832;1263;211;1;308;False;
29;3421023651;Rafael Eduardo fuentes;Ralf0792;Comunicador Social. ;;;;;;;;;;;;;
"Activista ambiental. Crítico y defensor de las cosas justas y de los DDHH. Siempre con la fe puesta en Dios. Antiuribista.🥑""";http://pbs.twimg.com/profile_images/1276761210806042624/P1pPYkTT_normal.jpg;http://abs.twimg.com/images/themes/theme1/bg.png;13/08/2015 22:09;Montería, Colombia;;False;2767;3509;3930;0;3810;False;;;;;
30;1,17E+32;Mauricio7;Maaurice_7;Álvaro Uribe Vélez es el líder de la organización criminal que tiene convertida a Colombia en un para narco estado;http://pbs.twimg.com/profile_images/1199353093219069952/x9Jo7vVL_normal.jpg;;13/09/2019 14:47;Medellín, Colombia;;True;1638;1728;2645;0;613;False;
31;8,01E+31;🤪 EnPieDeLucha_;D___________C;Comunicación Social.;http://pbs.twimg.com/profile_images/1274196703667785728/Kl_pSNHm_normal.jpg;http://abs.twimg.com/images/themes/theme1/bg.png;21/11/2016 14:19;;;False;2152;2057;888;1;3105;False;
32;8,54E+31;Sergio Mendez;hejito1976;Dostoyevski,Tostói,Poe,Cortázar,;;;;;;;;;;;;;
Saramago;Gabo;"Tolkien.....""";http://pbs.twimg.com/profile_images/1279905839101419520/xCOP6FNG_normal.jpg;;16/04/2017 17:15;Bogotá, D.C., Colombia;;False;2551;3680;95800;0;105535;False;;;
33;140974908;Darío Martelo S.;DarioMartelo;IngenieroDeAlimentos\Melomano!!!;http://pbs.twimg.com/profile_images/1752578939/IMG-20120113-00024_normal.jpg;http://abs.twimg.com/images/themes/theme2/bg.gif;06/05/2010 21:25;Cereté, Colombia;;True;901;2580;5298;2;12646;False;
